"id","profileName","text","date","title","rating","images","helpful","Configuration"
"R182E7TVHMN3NX","Shiva Kumar.A.S","I was forced to buy Firestick 3rd generation after my Amazon Firestick First Generation stopped working. It was working fine till afternoon and after showing Software update in progress, it got stuck and never worked.I called up the Executive and after trying everything was asked to take it to nearby center. As the center is quite far, I didn't go, but ordered the third generation instead.I wrote to Amazon, if they are selling the product, then they should also provide after sales service. They can always charge. No issues.The person should visit home to rectify the problem. Trust me, there have been instances when some Electronics company sent a technician to home, though the equipment was worth only 2000 Rs.And here we are talking about an equipment costing Rs.4000 to Rs. 6000.How can an equipment stop working while updating software, still I can't get it. Is that deliberate so that Customer buys the new version?Not to say, I regret buying the third generation Firestick. It's a great experience. Great sound. It's a marvel. Amazon always had been my first Choice.The only letdown was equipment stopped working during update. Never heard of. Amazon should regard loyalty.Almost Each day, can you believe it, we order something from Amazon. Please check records.","Reviewed in India on 23 July 2021","Fire TV Stick (3rd Gen, 2021",5,"","29","Fire TV Stick"
"R1MH795OMJTL23","Manpreet Singh","The most important thing on which amazon in betraying us is that it doesn't supports voice search. For example alexa button is there but it can only play things on amazon prime video. If u open zee 5 or youtube you will not get the mic button to search and will have to press the assistant button which will take you somewhere else and will not search for things we want. It UI is excellent but this voice search is the main issue. Thats why you should be going for mi stick.","Reviewed in India on 6 May 2021","Doesn't Support Voice Search",4,"","32","Fire TV Stick"
"R3TI2MEG40AO76","R N Tripathi","Totally disappointed. Wastage of money. Not required for smart Android TV. Might be for small normal TV. Price is too high. Better quality products with latest specifications are available in the market at very less price. Not satisfied and not recommend to buy.","Reviewed in India on 23 June 2021","Wastage of money, unwanted product for smart Android TV.",1,"","28","Fire TV Stick"
"R9GOA0T54D881","Amazon Customer","Such a waste product..bought it to make my tv smart..but it keeps restarting itself and is of no use..i have been a regular customer of Amazon..but after this deception ..i think they are not worth your money..Amazon please replace my fire stick","Reviewed in India on 27 June 2021","Keeps restarting",1,"","26","Fire TV Stick"
"R1FUC8TJW1YI7I","Amazon Customer","Once the fire TV stick is on, the colour logo is loaded half and then disappeared. After then no response in tv only black screen display.","Reviewed in India on 9 June 2021","Disappointed",1,"","27","Fire TV Stick"
"R1EOCK3S5YM5GI","Traveller Sakha","Update: After using for 10 days of usageDevice is up to date yet the wifi capturing frequency is pathetic and it keeps losing the connection. I spent half of my time fixing the connection issue and it ruins the user experience.Returning it. Don't go for it. Highly recommended.Took 4 hours to watch 2 hours movie. Have turned off auto updates, changed settings still it takes forever to load though the internet speed is 35 Mbps.","Reviewed in India on 30 July 2021","Don't buy it. Not that great device",1,"","20","Fire TV Stick"
"R340BNOKBIJHE4","Subhankar","Quality of the product and packaging is really recommendable. I brought it at a great price of 2799. The stick supports maximum 1080p videos (I tried with my 32inch led). Sound is stereotype. Not tested whether it is dolby digital or not. It supports both 2.4 ghz and 5 ghz of internet. Remote is quite handy. Alexa voice responses are recommendable. Interface is attractive and fast. Pairing of remote with the tv is done automatically on first setup and even one can set other consoles by going to add remote option which is available in the fire stick. Remote provided is RF type. One thing I disliked is the pressing of remote buttons. It should be soft press rather than hard press.I would personally suggest to go for it if anyone wish to buy.Thanks for the deal Amazon","Reviewed in India on 12 May 2021","True review",5,"https://images-na.ssl-images-amazon.com/images/I/91UDf2kOQXL.jpg
https://images-na.ssl-images-amazon.com/images/I/A1N6ixYnWLL.jpg
https://images-na.ssl-images-amazon.com/images/I/B1ccRxtF8GS.jpg","22","Fire TV Stick"
"R1J492FK4L8UDS","Anoop M G","My Sony bravia non-smart tv has in-built Prime and Netflix app and few others but no Disney Hotstar. So I decided to buy this Firestick and ended up with out of the box experience! The picture, audio and streaming clarity this gave was far far better than my tv in-built apps!!!Plugged it in directly to my JBL soundbar which has HDMI-in passthrough rather than connecting to TV which gave crystal clear sound. Have to be patient for the initial setup. After that just relax and binge!! Terrific purchase!! Thank you Amazon for the offer pricing too!","Reviewed in India on 8 May 2021","Pwoli saadanam!",5,"https://images-na.ssl-images-amazon.com/images/I/91mEyVHuX6L.jpg","20","Fire TV Stick"
"R1N54E2DMU68BS","Geethapriya","During Prime day sale, 3rd Gen Stick supposed to come with Sony LIV, Zee5 and Voot Subscription as shown while booking the item. But it is not working. Please do the needful","Reviewed in India on 30 July 2021","Sony LIV not working on 3rd Gen Stick as promised",1,"","18","Fire TV Stick"
"R2U6AHWCLJ0XVN","Sunil Yadav","Used for 30  daysRemote response time seem to be increasing.1.5v amazon basics cells have died in just 3 weeks.New batteries gone in 1 week, its draining battery , remote shows low battery everytime. It refuses to respond, stops working intermittently.Customer care guys have only one solution to reatart fire tv, reboot, reset remote and any of these didn't work.Seems to be a hardware issue. I need a replacement.","Reviewed in India on 1 August 2021","NOT satisfied.",1,"","13","Fire TV Stick"
"R1JMW3OA5PCZYZ","vazrapu","Received a defective piece,which would not connect to wifi and even a brief connection happens,failing again and again,have checked with different networks & tried on alternate HDMI ports,but problem persisted","Reviewed in India on 15 June 2021","Even amaxon fire stick can be defective ! Never expected this",1,"","16","Fire TV Stick"
"R1UEYVTJ7FEWQJ","Tarun kumar","Order on 4th april, deliveey was expecting 24th april, but received on 1st may 2021, after i open the packet, item an missing.. so irresponsible service.","Reviewed in India on 2 May 2021","Damage packet and item missing",1,"","18","Fire TV Stick"
"R1JPH7M5G1D7U9","VG","I bought it today.Power and volume control of the firestick remote not working.I had called the customer care and after one and a half hour of trying different trouble shooting methods, I was told that my TV is not compatible..if that was the case, there was no need to try all methods right !!What kind of LCD Tv is compatible is not mentioned in the product information.I would have bought the lesser priced 2nd generation model in that case.Very disappointing.Amazon needs to look into this ..","Reviewed in India on 29 July 2021","Disappointed",1,"","13","Fire TV Stick"
"R2PN8OIXJN5PWQ","P S Saji","The device if connected with Wifi and detect internet, works amazingly. But the challenge I faced is that getting it started when I first connected it was a 2 hour ordeal. The device connected to my wifi but was saying 'No internet'. I have to reset the wire stick multiple time which did not work. Then I had do factory reset some 2-3 time, after which finally the 'No internet' error disappeared. After that the device worked fine for a month.After than again the Wifi connected but 'no internet' issue started. I have did a factory reset now, but the issue still persist. At the time of posting the this review the issue was not fixed. I hope it get fixed","Reviewed in India on 13 January 2022","Inconsistence in maintaining Wifi Connectivity",1,"","10","Fire TV Stick"
"RT1A2Y3HQ4ZH8","Amazon Customer","i bought this product and since yesterday its started creating problem. When i connect it to my tv, the tv simply restart again and again. i called sony Tv technician and  he checked and said tv is fine but this firestick is faulty which is creating thia problem. kindly refund the amount and take back your faulty product.","Reviewed in India on 13 July 2021","Faulty product. donot use it it will destroy your tv",1,"","14","Fire TV Stick"
"R9CS1RM0R8IH","Amazon Customer","https://in.amazonforum.com/s/question/0D54P00008QmKIPSA3/fail-to-connect-to-amazoncomPosted issue detail at forum too.WIFI connection successful. But fails to connect to amazon.com.And hence fire tv update fails.Tried plugin, out of power cord of fire stick, router etc, nothing worked.Tried factory reset( back key + right side of navigation circle) : factory reset doesn't occur.note: My WIFI connection is good. My LG TV is working fine and has prime video working fine.This is the first time am trying fire stick on my LG TV.if no response from customer care, will return product.","Reviewed in India on 30 July 2021","Fail to connect to Amazon site",1,"https://m.media-amazon.com/images/I/61RChPnjOGL.jpg
https://m.media-amazon.com/images/I/61lT9sSaynL.jpg
https://m.media-amazon.com/images/I/61yLnNdbcsL.jpg","12","Fire TV Stick"
"R3W35G7DR0NCXH","Sanket","Mi Tv Box 4k at 3500 is still a better deal compared to this it's older than this but it's always been faster than my firesticks in terms of ui navigation.This firestick is not bad it does what it's supposed to do has a new menu system. All major streaming services work but I always feel that there is a slight lag on the user interface Amazon just bloats the home page with so many options I just wish I could just turn off all thr suggestions and that would speed up the ui. I just want to see my apps on the home screen not all the suggestions which is as is slowing down the ui and at the same time overflowing my home page with junk suggestions.","Reviewed in India on 17 June 2021","Hardware still feels like there is a ui lag not snappy",4,"","9","Fire TV Stick"
"RHW3BQ4W2I7E8","PARAS MANI GOEL","Product did not worked properly. Live tv tab was not showing any Channel. Returned without any hassle , thumbs up to amazon team for timely delivery n tension free returns!!","Reviewed in India on 6 June 2021","Live tv did not worked properly.",3,"","13","Fire TV Stick"
"RPJ2LVGWS1QD7","Deepak Rao","I am giving this review again after using fire tv stick for the last 1 month. Previously I gave 4 star rating because volume and power buttons were not working due to videocon tv compatibility. But after some days Mr. Naresh(Technician team) called me and forwarded a mail to me for again remote setup and update. So I followed all steps as I received on mail and I am so happy to share my review again that now my fire tv stick is updated and all buttons are working finely. I m very thankful to Amazon for providing super best service and also to Mr. Naresh.. Product is really awesome. Go for it blindly✌✌","Reviewed in India on 2 May 2021","Awesome Product. Worth every penny😇",5,"","11","Fire TV Stick"
"R1B3K9R5YBCHOR","Prateek H","This device is something that I now regret not having bought earlier. Its super easy to use, more so with its voice control feature, which makes tuning into your favourite channel/music/video a breeze. I am using it with my old Sony Led TV (bought in 2011) which does not have internet or bluetooth. The experience is simply amazing. A highly recommended product even for new-age smart TVs because it makes toggling between different OTT providers super easy and fun. The only problem that I am having is connecting the remote to my TV's volume/power controls.Mine is a 3rd Gen, 2021 Firetv and I got it during a flash sale for a good discount @2699/-Tip: Watchout for any sales and jump on the opportunity.","Reviewed in India on 16 May 2021","User friendly and extremely simple to use",5,"","10","Fire TV Stick"
"R3SO94XJILIK7S","Amazon Customer","First I bought fire tv lite stick which worked with SONY LED Tv 2012 model .But felt lite tv stick remote was cumbersome has it did not have volume,power and direct app buttons. Needed multiple remotes for smooth operation. So I went for 3rd generation fire tv stick which had all the buttons on single remote. But 3rd generation stick could not be paired with SONY TV after multiple attempts, changing batteries and lot of trouble shooting. Wish Amazon mentioned the names of Tvs with which this fire tv stick is compatible, it would have saved time and effort.So returned the stick and asked for refund.","Reviewed in India on 4 October 2021","Not compatible with SONY LED Tv",1,"","8","Fire TV Stick"
"R3LGGV63DR8JXV","Subhadeep Dey","Fire tv stick 3rd gen is a magical device. Got this for my non-smart 2018 Sony TV.Streaming quality is 1080p max with Dolby Atmos. For Dolby Atmos you will need separate Dolby Atmos enabled soundbar/system to work.Supports all apps almost like YouTube, Prime video, Amazon music, Netflix, Voot, Zee5, Disney+hotstar, Apple TV etc. You may require separate subscription for each app.Bluetooth remote is very responsive with inbuilt Alexa button.You will require high speed unlimited broadband connection to run this otherwise it may not work properly.Got it on the prime day at just Rs.2099. Thanks to Amazon for fast delivery.","Reviewed in India on 31 July 2021","Fire Magical TV Stick!!!!",5,"https://m.media-amazon.com/images/I/916Nan16LtL.jpg
https://m.media-amazon.com/images/I/91kEzSDoj7L.jpg
https://m.media-amazon.com/images/I/A140q0ggugL.jpg
https://m.media-amazon.com/images/I/A1rq9dhYwbL.jpg
https://m.media-amazon.com/images/I/B1I2NyiY6KS.jpg","6","Fire TV Stick"
"R1VIV8GT0K3O0","Rajesh Kumar","The quality of remote is really worst not sure whether its bcos of made in India. The touch and feel of remote shows the quality, since i have used 2 generation of firestick devices. Its not like previous one. And the UI is different from 2nd generation. And totally i don't like it. The UI looks like smart tv.","Reviewed in India on 26 July 2021","Thrid Generation UI and Remote is worst quality. Not really happy.",2,"","8","Fire TV Stick"
"R2490BZZR7FHIU","Godwyn Francis","Overall this is a great product.However i will give 1 star for the atmos feature. As its providing atmos signal only on netflix and NOT on prime video, hotstar or apple tv appWhen i contacted amazon customer service the guy udhay searched for answers half an hour and ultimately suggested to try factory reset. My god. The device arrived yesterday in factory settings only and its not even 24 since setup. So how would factory reset help??Amazon guys font seem to have any clue about atmos","Reviewed in India on 28 July 2021","Atmos works only on Netflix",4,"","6","Fire TV Stick"
"R3DXXDSAHMVSWT","Harvinder Sharma","I have a Micromax led around 7 years old and I was about to sell and buy a smart one, but this device made my unsmart LED a very Smart oneEasy to use, the picture quality is awesome and Alexa is very much helpfulApps are easily downloadable and games for the kids are thereThe only setback is the volume button is not on the remote that we can manage.overall 10 on 10 device.","Reviewed in India on 11 July 2021","Device that saved my money",5,"https://images-na.ssl-images-amazon.com/images/I/618Ne-0zAAL.jpg","6","Fire TV Stick"
"R2L6GTAL0ILZLF","Baaru","Worked well out of the box, but performance markedly deteriorated within 3 months. After 6 months, was slow, laggy, unresponsive, and had to press buttons multiple times to recognize input. Drains batteries much more rapidly than other remotes, I need to replace the battery once a week now, and even then it doesn't work. Without doubt the worst, most overpriced purchase I have ever made on Amazon. Please don't be fooled by the positive reviews, most of these are people who are excited about the new product but haven't yet used it for a year.","Reviewed in India on 8 January 2022","Garbage product - reviewed after 1 year of use",1,"","6","Fire TV Stick"
"R2MR2WDS79X30H","Rajeev Muthukulam"," When I read reviews, I was confused to buy this product. But I have decided to take risk and purchased it. When I received this item this afternoon, I was totally upset in my mind whether I can make it ready or not. But surprisingly it was so simple to setup and viewing all channels including jio tv. I personally recommend to everyone, it’s amazingly simple to setup and viewing all channels without any hassles. Wonderful product. Recommended for everyone. Thanks Amazon for such a wonderful product 😄","Reviewed in India on 7 July 2021","Amazon fire tv stick",5,"","5","Fire TV Stick"
"R3Q0QUT99FPWS2","Farhan nazeer","The voice search is bad ,while searching it only gives results realted to Amazon prime video contents and not any other platform even, but when we enter a app and do the voice search it works fine.While connecting a Bluetooth headphone it's volume can't be controlled by the fire tv remote and will be set to maximum volume so can only be changed if the headphone itself has volume control feature.The appstore is that from Amazon itself.And there is limited apps on the Amazon appstore.And also there is no 5.1 sound support even though it does support Dolby digital and digital Plus.The remote is functional and good.For watching live tv except for 2 or 3 free apps paid subscription is required.Edit:- after about 4 to5 months the power adaptor got damaged but  got a new one  under warrenty.","Reviewed in India on 8 May 2021","Value for money",4,"","4","Fire TV Stick"
"RFI2RF7KRAHV1","Fahd Saleem","Product is awesome. But disappointed with cost.  When i ordered this on 14th june 21, i paid 3999 rs. I wanted another 1 so tried ordering it again saw the price slashed to 3199 rs. Felt looted types. Its not 800rs which are shortcoming, but people boast saying they got it for lesser price which hurts ur ego.Else this is a fantastic product.","Reviewed in India on 19 June 2021","Product is amazing",5,"","5","Fire TV Stick"
"R2SH9DM1SSTC74","Rajasekaran V","The first stick had issues with remote pairing and was stuck at setup stage. Got the replacement and the same issue again. Remote is not pairing. Now seeing so many commentsand understand that the latest manufacturing has some issue. Useless... now returning it.","Reviewed in India on 6 October 2021","Remote pairing issue..",1,"","6","Fire TV Stick"
"RV710XIUGTA2M","SUMIT KUMAR SHAW","This is the best option to make your hdmi capable tv to smart tv.But after 7days at 18th October 2021, after I start fire tv stick it's home screen goes black. I tried all method like deregistration, restart, factory reset etc but problem still persist.At last 3rd factory reset black screen problem is fixed. Please Amazon fix it by os update.So this problem can't happen again. So this product may not be long lasting.Black home screen problem persist due to slow wifi connection or low ram/cache memory, so don't download too much app. You should save 3gb space to run fire stick normal.","Reviewed in India on 17 October 2021","Best substitute for android box/stick but beware of black home screen fixed by 3rd reset.",3,"https://m.media-amazon.com/images/I/61Y+0++kmwL.jpg
https://m.media-amazon.com/images/I/71B1BTOIvlL.jpg
https://m.media-amazon.com/images/I/71EmCdHkhKL.jpg
https://m.media-amazon.com/images/I/71vlPwt7nzL.jpg
https://m.media-amazon.com/images/I/81Cas6SANdL.jpg","3","Fire TV Stick"
"R3CU1RHDK1HUNA","arijit s.","Simply an amazing product from Amazon. It's converted my 8 years old LED tv to smart tv with Ultra HD picture quality. You just need a broadband connection with WiFi that's enough it will run live TV's, shows, entertainment everything. Thank you Amzon for promt delivery. Got the product in Rs 2799 as special discount","Reviewed in India on 3 May 2021","Amazing product from Amazon",5,"","6","Fire TV Stick"
"R21HL6NDE0RBSX","Shailendra Patel","This review is for the 2021 version. Got it for ₹2400 in prime sale. Following is the summary:1. Easy to setup, takes time though (especially for the update(s)).2. Runs on fire OS that is a fork of the Android operating system, so the appstore might not have everything, but you can sideload apps using the debug option (although, not recommended).3. Screencast worked with OnePlus and Mi phones.4. Voice search works on YouTube and other apps, but using mobile to search through on screen keyboard was easier.5. Bluetooth devices work, you can even add game controllers.6. Streaming quality is great even on 1080p, I thought koryo TV's are bad, but this device delivered a great experience.7. Power button and volume buttons are mapped to the TV, the TV remote is useless if you are using Fire Stick, so for volume control and power, you will use this device, and you can tuck away the TV remote for good.","Reviewed in India on 28 July 2021","One of the best piece of hardware that I have ever bought",5,"","4","Fire TV Stick"
"R1BA3S997OC3Z1","M Singh","All that was expected - Turned my non-smart tv into an android one. As long as your TV has an HDMI port and supports at least 720p (HD ready) it should work. Otherwise additional gadget may be required.Setup was tricky though. I can understand why some people gave up and returned the product. Here's an advice:1. At first prompt choose eng US as language.2. After filling account details it shows an OTP to register the device. You'll expect an email or a notification in amazon app to provide the OTP. But the email/notification never arrives. This is the frustrating part.3. Go to amazon.com/tv (the instruction appears on screen) from your PC or phone browser to provide the OTP. That's it.4. My firestick kept restarting (rebooting) throughout the setup process and I had to re-start the task many times. I thought mine was a faulty stick. Then I made sure the HDMI connection and power connection were firmly secured (tightened). That solved the problem.","Reviewed in India on 13 June 2021","Works like a charm... installation wasn't smooth",5,"","3","Fire TV Stick"
"R1XXRGZFJ92BYI","Aayushi Mahajan"," After 3 months of purchase it stopped working.Firetv just stuck to logo.Tried every solution which was available at internet.Then i talked to customer service they are saying it is under warranty but they can't replace it directly so the we have to buy it again giving 3999 which i bought at rps 2199 .Then after delivery they will refund you. Such a  scam. Didn't expect this kind of things from amazon. I have warranty for this product why you just can't replace it? Why do i have to purchaae again and waste extraa 2k money???","Reviewed in India on 22 February 2022","Defective product and Rude customer service",1,"","4","Fire TV Stick"
"R33TFNY6W12P2G","Genuine buyer","product description saying 2021 model.. but the firetv telling its 2020 version. zebronics 9800 DWS PRO DOLBY ATMOS SOUND BAR showing DOLBY SURROUND when playing selected Dolby atmos movies (eg: CARNIVAL RAW) from prime ( we can't see a single atmos label in any title). its a fake business telling this stick supports Dolby atmos- DOLBY DIGITAL PLUS is maximum available audio but showing Dolby surround in sound bar. Airtel xtream box doing great job than this.","Reviewed in India on 4 October 2021","very waste product if you purchase it for DOLBY ATMOS",1,"https://m.media-amazon.com/images/I/71qDTVLOhoL.jpg","3","Fire TV Stick"
"R1RLHDTSSKJNZF","Abin Santhosh","Works Great. No issues. The menu navigation is butter smooth. Initially had issue with upgrades during installation. The device simply keeps restarting. However I did a factory reset and tried again. And this time it downloaded and installed the upgrades and went to the setup screen without any problems. Using it on a Epson projector setup with the help of a hdmi splitter. Fire Stick has Bluetooth, so audio is connected to Sony 5.1 speakers Using Bluetooth. Finally true home theater experience.","Reviewed in India on 17 June 2021","Super Fast !!",5,"","4","Fire TV Stick"
"RY0ZKOT1PBBMQ","Aditya","1) cost in India and cost in USA too much  difference2) Hardware wise we need 2gb ram  and 16gb storage as minimum.3) inability to control Bluetooth volume from  fire stick is a deal breaker4) Inability to decode and provide Dolby  atmos via Bluetooth or HDMI is a Real deal  breaker. Should have opted for Nokia  streamer where in it is available.  My Laptop can do headphone Dolby Atmos  by buying the license from Microsoft store.5) Unable to switch off Samsung Dce32  signage display via power button on the  fire stick remote6) unable to select 1080 60hz or 30 hz video  on YouTube if it’s available when viewing  same video on laptop.","Reviewed in India on 2 August 2021","Decide for you’re self.",3,"","3","Fire TV Stick"
"RBRUAW9502G6A","Tottology","Overall a good uswful device but the setup is slow, the remote is extremely unfriendly and without numbers and alphabets typing is a pain. Better to use the mobile remote app of fire tv to navigate.And something not right with hotstar as it gets hidden everytime on the screen.Definitely they need to work on the UI and maybe UX. Pretty average product I'd say with a great marketing and space to be in as a first mover.","Reviewed in India on 27 July 2021","Needs better UI",2,"","3","Fire TV Stick"
"RKP8D22U2WVE7","Hari","No matter how many hours you try. The remote simply refused to pair. Watched many videos, read articles and tried in all possible ways, still the result was same. it turned out to be a waste of money.","Reviewed in India on 5 October 2021","Watch out for defective remote. It just does not pair !",1,"https://m.media-amazon.com/images/I/519FXEK7cSL.jpg","5","Fire TV Stick"
"R3P6EZE9E3ZGH7","Imsachin","The Product is good but don't buy if you have fire stick 3rd generation no difference in processor same 1.7 GHz processor just the major difference is in remote which have shortcut keys for Netflix and prime video, if you are getting firestick 2020 from retail market buy it don't waste money on this 2021 stick.","Reviewed in India on 11 June 2021","Don't upgrade if you are having Fire stick 3rd generation",4,"","4","Fire TV Stick"
"R3D4KS347UJ83Y","Kunal","This is my 2nd firestick, 1st one I bought on 2019 prime day for 2199. I got this for same price. First device worked fine till 1yr.After that there was problem with sound, sometime sound goes off and doesn't come back. After some day, remote started giving problem. Frequent disconnect battery drainage etc.I had to replace the old one. You can only buy all Amazon exclusive products on prime day as the price goes lower than expected.New device has new interface, faster screen load, and improved remote. Since far all my existing problem are not seen in new one. Hope this one goes till 2023 so that I can buy 4th gen on prime day, ha ha..","Reviewed in India on 30 July 2021","My 2nd Firestick",5,"","2","Fire TV Stick"
"R3H215RU1XHEAL","Sooraj","My first buy FireStickWas skeptical to go for the older Lite version or the newer 2021 one since the price difference was significantWent for thisGot it delivered very late probably due to non availabilityWorks smoothEasy to set upBest part is they provide extension HDMI.Resolution is only 1080p so I guess a max 42inch TV I guess.UI is smooth.Remote is handy and works really wellA very good device for older TV who are not interested to buy a new one just for the sake of smart featuresI would recommend this productBut at 3999₹, it is not cheap as well","Reviewed in India on 18 June 2021","Good initial impression",5,"https://images-na.ssl-images-amazon.com/images/I/B10DJc+P5FS.jpg
https://images-na.ssl-images-amazon.com/images/I/B1OmvEeU-VS.jpg
https://images-na.ssl-images-amazon.com/images/I/B1lxKplBXyS.jpg
https://images-na.ssl-images-amazon.com/images/I/B1mPO40B0WS.jpg
https://images-na.ssl-images-amazon.com/images/I/B1vMsss0NFS.jpg","2","Fire TV Stick"
"R1L9TZO4G0T4KW","Neo","I have been looking for a good solution to steam various OTT platforms for a while. This one solves the problem perfectly.Apart fro usuals - streaming apps, games, platform support, I really like bluetooth connectivity now I can watch movies / shows without disturbing others around me.I dunno why I didn't go for it earlier.","Reviewed in India on 16 August 2021","THE BEST streaming device... Ever.",5,"","3","Fire TV Stick"
